37377,4,600,
37511,1,600,
37355,-2,600,
37355,0,600,
37311,-4,600,
37133,-1,600,
37311,6,600,
37266,-7,600,
37422,5,600,
37533,1,600,
37355,4,600,
37422,-1,600,
37444,-2,600,
37177,-5,600,
37311,0,600,
37288,5,600,
37444,5,600,
37244,-3,600,
37333,-5,600,
37444,0,700,
37444,3,700,
37111,14,700,
36088,323,700,
36111,330,700,
36422,332,700,
36733,337,700,
36511,338,700,
36377,322,700,
36444,342,700,
36244,326,700,
35466,340,700,
36088,343,700,
35111,342,700,
36022,334,700,
36022,332,700,
36266,323,700,
36133,331,700,
35800,325,700,
35511,337,700,
35711,328,700,
36066,337,700,
36111,332,700,
36111,333,700,
35622,336,700,
36155,426,800,
35333,451,800,
35911,454,800,
35422,462,800,
35133,455,800,
35488,466,800,
35711,455,800,
35488,450,800,
35355,454,800,
35400,456,800,
35733,464,800,
34777,464,800,
34377,445,800,
35755,462,800,
35088,456,800,
35400,460,800,
34777,453,800,
35600,456,800,
35222,466,800,
35177,443,800,
34866,447,800,
35000,454,800,
35400,451,800,
35000,462,800,
34955,466,800,
35422,532,900,
34088,596,900,
34422,600,900,
34733,600,900,
34688,587,900,
34666,583,900,
34733,588,900,
34688,583,900,
34733,594,900,
34222,567,900,
33866,596,900,
33955,586,900,
34755,590,900,
33955,589,900,
33177,587,900,
33133,572,900,
34377,579,900,
34866,573,900,
33177,580,900,
34333,575,900,
34155,579,900,
33711,585,900,
33800,572,900,
34133,562,900,
33355,603,900,
32822,629,1000,
33800,729,1000,
32111,717,1000,
33511,725,1000,
33222,727,1000,
32911,710,1000,
33533,721,1000,
33088,718,1000,
32933,711,1000,
33177,718,1000,
32977,726,1000,
33444,707,1000,
32333,720,1000,
32555,717,1000,
32800,712,1000,
33266,724,1000,
33733,715,1000,
32488,698,1000,
32733,698,1000,
33311,705,1000,
33888,705,1000,
33955,687,1000,
33177,713,1000,
33244,715,1000,
33844,692,1000,
33888,513,500,
35155,117,500,
35044,115,500,
35244,101,500,
35400,115,500,
35466,117,500,
35044,117,500,
34777,126,500,
36022,126,500,
35600,120,500,
35488,125,500,
35311,113,500,
35733,120,500,
35644,125,500,
35755,114,500,
36022,122,500,
35377,120,500,
35866,107,500,
35488,103,500,
35844,120,500,
36088,126,500,
35355,137,500,
35266,118,500,
35777,117,500,
35622,126,500,
36088,126,600,
35822,211,600,
35422,200,600,
35844,220,600,
35888,215,600,
35800,211,600,
35577,211,600,
35844,216,600,
35844,209,600,
35844,207,600,
35888,207,600,
35355,219,600,
35955,222,600,
35222,220,600,
35377,216,600,
35600,216,600,
35822,210,600,
34777,227,600,
35644,216,600,
35133,208,600,
35733,216,600,
35644,219,600,
35844,210,600,
35800,219,600,
35888,208,600,
35488,223,700,
35222,321,700,
35666,309,700,
35044,324,700,
34666,312,700,
34866,335,700,
35533,318,700,
35644,324,700,
34488,322,700,
35600,341,700,
34933,334,700,
34955,327,700,
34911,327,700,
35488,323,700,
35200,309,700,
34688,318,700,
35266,319,700,
35400,322,700,
34866,329,700,
35133,324,700,
34822,313,700,
35488,327,700,
35422,332,700,
35311,332,700,
35555,317,700,
35200,395,800,
34511,453,800,
34555,449,800,
34777,450,800,
34555,445,800,
33666,440,800,
34711,459,800,
35044,430,800,
34288,457,800,
34777,444,800,
34822,442,800,
34244,420,800,
33955,446,800,
34644,459,800,
34333,450,800,
34355,443,800,
34400,441,800,
34377,449,800,
35044,450,800,
34355,459,800,
34400,442,800,
34244,459,800,
34466,442,800,
33377,445,800,
34844,454,800,
33400,504,900,
34600,582,900,
33600,570,900,
33555,577,900,
34222,569,900,
33533,555,900,
33200,584,900,
33355,585,900,
34377,565,900,
33333,571,900,
34133,555,900,
33444,571,900,
33244,565,900,
34311,578,900,
33733,565,900,
33755,572,900,
33955,565,900,
33200,575,900,
33888,572,900,
33622,570,900,
33866,580,900,
33111,577,900,
34155,565,900,
34000,570,900,
33333,573,900,
33400,602,1000,
33777,715,1000,
32777,691,1000,
33555,706,1000,
32644,721,1000,
33022,700,1000,
33088,715,1000,
33355,711,1000,
33355,712,1000,
31911,700,1000,
32466,707,1000,
33311,712,1000,
32111,694,1000,
31400,689,1000,
32822,706,1000,
32111,720,1000,
32577,703,1000,
32533,696,1000,
32444,699,1000,
33066,701,1000,
32911,719,1000,
33222,698,1000,
32422,698,1000,
33000,703,1000,
30977,694,1000,
33266,595,500,
34000,115,500,
34688,118,500,
34866,109,500,
35111,107,500,
34755,105,500,
34333,104,500,
35222,113,500,
34577,112,500,
35244,119,500,
35133,99,500,
35066,113,500,
35311,113,500,
35111,118,500,
35244,127,500,
35044,109,500,
35266,112,500,
35711,125,500,
35044,125,500,
34888,128,500,
35422,116,500,
35244,106,500,
35400,112,500,
35311,114,500,
35222,110,500,
35444,131,600,
35311,220,600,
34733,213,600,
35377,203,600,
35133,208,600,
35333,207,600,
35000,224,600,
34666,205,600,
34866,213,600,
35400,214,600,
