2023-07-25 19:05:58.608,41755,-1,340,
2023-07-25 19:05:58.794,41711,-1,342,
2023-07-25 19:05:58.999,41977,-2,320,
2023-07-25 19:05:59.202,41488,21,316,
2023-07-25 19:05:59.408,41622,21,316,
2023-07-25 19:05:59.588,41622,20,317,
2023-07-25 19:05:59.793,41444,22,314,
2023-07-25 19:05:59.993,41977,20,314,
2023-07-25 19:06:00.193,41622,194,1000,
2023-07-25 19:06:00.396,37266,767,1000,
2023-07-25 19:06:00.601,39088,841,1000,
2023-07-25 19:06:00.800,37866,848,1000,
2023-07-25 19:06:01.005,37155,836,1000,
2023-07-25 19:06:01.219,38555,842,1000,
2023-07-25 19:06:01.369,37244,829,1000,
2023-07-25 19:06:01.562,37222,836,1000,
2023-07-25 19:06:01.760,36377,839,1000,
2023-07-25 19:06:01.963,37977,826,1000,
2023-07-25 19:06:02.170,38200,838,1000,
2023-07-25 19:06:02.367,36755,814,1000,
2023-07-25 19:06:02.579,37533,819,1000,
2023-07-25 19:06:02.779,37355,822,1000,
2023-07-25 19:06:02.980,37777,805,1000,
2023-07-25 19:06:03.180,36555,781,1000,
2023-07-25 19:06:03.386,37600,798,1000,
2023-07-25 19:06:03.587,36177,811,1000,
2023-07-25 19:06:03.790,37444,796,1000,
2023-07-25 19:06:03.983,35933,817,1000,
2023-07-25 19:06:04.188,37355,801,1000,
2023-07-25 19:06:04.398,37533,795,1000,
2023-07-25 19:06:04.593,36866,794,1000,
2023-07-25 19:06:04.796,36377,806,1000,
2023-07-25 19:06:05.000,36488,804,1000,
2023-07-25 19:06:05.186,36955,816,1000,
2023-07-25 19:06:05.411,37355,786,1000,
2023-07-25 19:06:05.611,36355,801,1000,
2023-07-25 19:06:05.792,37022,801,1000,
2023-07-25 19:06:06.018,36133,802,1000,
2023-07-25 19:06:06.197,36711,790,1000,
2023-07-25 19:06:06.423,34644,781,1000,
2023-07-25 19:06:06.554,35933,795,1000,
2023-07-25 19:06:06.755,35844,785,1000,
2023-07-25 19:06:06.968,35266,787,1000,
2023-07-25 19:06:07.160,36333,794,1000,
2023-07-25 19:06:07.358,35666,790,1000,
2023-07-25 19:06:07.558,35888,797,1000,
2023-07-25 19:06:07.780,36822,790,1000,
2023-07-25 19:06:07.974,35977,792,1000,
2023-07-25 19:06:08.174,35666,799,1000,
2023-07-25 19:06:08.378,36888,781,1000,
2023-07-25 19:06:08.578,36933,772,1000,
2023-07-25 19:06:08.780,35577,787,1000,
2023-07-25 19:06:08.985,35822,785,1000,
2023-07-25 19:06:09.189,35844,790,1000,
2023-07-25 19:06:09.397,36666,796,1000,
2023-07-25 19:06:09.589,35311,788,1000,
2023-07-25 19:06:09.790,36000,794,1000,
2023-07-25 19:06:09.994,35644,788,1000,
2023-07-25 19:06:10.204,36111,774,1000,
2023-07-25 19:06:10.385,36133,766,1000,
2023-07-25 19:06:10.610,35977,771,1000,
2023-07-25 19:06:10.788,36377,779,1000,
2023-07-25 19:06:10.996,35577,777,1000,
2023-07-25 19:06:11.195,35177,781,1000,
2023-07-25 19:06:11.395,36600,785,1000,
2023-07-25 19:06:11.612,35266,768,1000,
2023-07-25 19:06:11.812,35800,774,1000,
2023-07-25 19:06:11.970,36000,776,1000,
2023-07-25 19:06:12.157,36444,776,1000,
2023-07-25 19:06:12.358,36644,753,1000,
2023-07-25 19:06:12.562,35955,777,1000,
2023-07-25 19:06:12.765,35866,779,1000,
2023-07-25 19:06:12.965,35555,775,1000,
2023-07-25 19:06:13.185,35977,772,1000,
2023-07-25 19:06:13.388,36088,776,1000,
2023-07-25 19:06:13.566,36266,782,1000,
2023-07-25 19:06:13.770,36000,772,1000,
2023-07-25 19:06:13.975,34777,778,1000,
2023-07-25 19:06:14.194,34422,770,1000,
2023-07-25 19:06:14.377,35555,778,1000,
2023-07-25 19:06:14.588,35222,774,1000,
2023-07-25 19:06:14.794,35844,768,1000,
2023-07-25 19:06:15.001,35222,766,1000,
2023-07-25 19:06:15.203,34311,768,1000,
2023-07-25 19:06:15.383,36733,765,1000,
2023-07-25 19:06:15.584,35600,768,1000,
2023-07-25 19:06:15.789,35577,771,1000,
2023-07-25 19:06:15.995,36200,776,1000,
2023-07-25 19:06:16.201,35933,766,1000,
2023-07-25 19:06:16.403,35133,774,1000,
